"Diuron","Mecoprop","Terbutryn","Benzothiazol","Zn","Cu"
6666.03470398746,33919.5051294417,2650.54540038614,164260.641798224,69413781.6168866,22309528.4069058
3426.26199394846,24562.1800763603,3998.5273657642,142299.614899102,115331804.989148,39969962.0376519
1605.29996819296,42919.8770495664,2365.21638334837,190171.302944201,117629297.695599,26080148.3966216
6776.85389817905,16340.871614837,6526.49431038152,166465.701277059,108022090.018831,24755562.7944874
3973.2528138242,50681.7128998331,3060.12380698514,201740.436486822,113323413.72119,27981185.1370828
2781.79551985195,46312.0946534462,1930.1636784738,221532.523497882,112241935.416955,21820249.7193761
24559.086715724,26913.4979191508,1259.60521661493,157434.73015311,112271510.782993,15993115.9377377
14719.4960786801,23555.2637350761,9747.72716549925,161131.684755575,144205715.38989,34638324.4449258
4269.20591577466,41218.5958747642,2269.1506109866,192812.699130645,92849578.3048531,22632965.9353162
8199.22939043237,21343.9393147911,2141.19143318752,155381.358759602,156394633.283044,30165588.6278699
2298.24692148064,18866.7412200422,1953.56107618273,284646.880670377,137788874.053493,31445224.0079293
8575.97709797951,11479.3308047496,5479.87815615711,230875.323085407,84891871.385588,34830339.6726377
3689.4982166981,33990.3893873425,2964.30692365657,238322.315449726,84956171.2912693,33147905.2591329
1680.59634745331,49463.8505179625,2989.76179670046,154154.715394699,109423354.354067,39646979.7394356
7047.43945079663,16409.6126048111,4039.48540615415,169585.401245974,82025792.964962,32440871.2943722
2651.76618767833,54241.7721121005,8234.31077067491,153996.678341091,91490785.3095847,28053747.5356409
7327.35984970321,25748.2750423833,3374.70939625541,332683.200534078,87871396.1272916,30427058.8972046
2039.80133287822,25649.0205955612,4511.45345198243,156993.240095959,103381444.138574,24670088.7806808
1210.24639936977,41193.5748953051,4172.462003872,136626.948394834,128054487.919444,21276672.5485856
2876.93566669037,89628.9664787905,5891.74750931668,191025.499372249,163302627.412047,49297275.7605052
5628.84779981605,8832.65181417977,2628.64079789944,140434.348468761,109631464.899725,20581105.2803927
